n;random;almost_sort;sorted_rev
28200;8362;5811;6239
28300;8390;5825;6248
28400;8531;5997;6354
28500;8474;5907;6333
28600;8658;5997;6665
28700;8590;6056;6440
28800;8794;6000;6430
28900;8677;6007;6424
29000;8920;6132;6627
29100;8657;6055;6494
29200;8692;6065;6538
29300;8747;6034;6528
29400;8976;6217;6611
29500;8986;6088;6568
29600;8828;6117;6571
29700;8838;6109;6588
29800;8880;6114;6641
29900;8920;6145;6702
30000;8916;6184;6710
30100;8949;6170;6708
30200;9013;6200;6710
30300;9006;6214;6728
30400;9012;6222;6763
30500;9117;6244;6811
30600;9081;6265;6818
30700;9100;6298;6806
30800;9271;6413;6859
30900;9232;6432;6978
31000;9344;6491;7023
31100;9377;6532;7035
31200;9436;6604;7104
31300;9460;6647;7131
31400;9561;6773;7206
31500;9641;7562;7605
31600;9942;7029;7727
31700;9974;6998;7512
31800;9975;6958;7359
31900;9894;7009;7388
32000;9954;7134;7505
32100;10024;7191;7560
32200;10068;7209;7591
32300;10175;7273;7643
32400;10272;7476;7628
32500;10344;7495;7790
32600;10388;7539;7802
32700;10389;7549;7795
32800;10452;7811;7879
32900;10684;7802;7976
33000;10638;7640;8056
33100;10589;7683;7928
33200;10766;7860;8150
33300;10837;7711;8001
33400;10625;7750;8010
33500;10582;7750;8010
33600;10678;7777;7998
33700;10703;7803;8057
33800;10742;7824;8073
33900;10750;7851;8140
34000;10773;7878;8165
34100;10829;7985;8211
34200;10831;7873;8164
34300;10896;7936;8177
34400;10952;7997;8329
34500;11060;7975;8435
34600;11190;8003;8396
34700;11063;8033;8329
34800;11066;8082;8348
34900;11105;8047;8403
35000;11106;8072;8347
35100;11131;8194;8947
35200;15855;8390;8843
35300;11591;8300;8538
35400;11495;8252;8416
35500;11286;8245;8767
35600;11415;8230;8625
35700;11386;8222;8563
35800;11374;8269;8548
35900;11407;8280;8637
36000;11440;8261;8574
36100;11671;8477;8649
36200;11534;8403;8937
36300;11935;8527;8649
36400;11585;8373;8665
36500;11706;8417;8803
36600;11719;8642;8940
36700;11767;8532;8974
36800;12107;8762;8997
36900;11907;8650;9031
37000;11969;8564;8891
37100;12088;8795;9183
37200;12235;8679;9451
37300;12270;8760;9042
37400;12162;8983;8994
37500;11831;8534;8935
37600;11855;8563;8901
