n	random	almost_sort	sorted_rev
25600	11424	9448	9554	
25700	11443	9430	9558	
25800	11538	9605	9659	
25900	11587	9572	9671	
26000	11634	9604	9714	
26100	11741	9724	9724	
26200	11681	9694	9788	
26300	11823	9777	9844	
26400	11837	9818	9895	
26500	11890	9825	9957	
26600	11953	9847	9975	
26700	11968	9915	9994	
26800	12039	9995	10036	
26900	12047	9964	10077	
27000	12113	10066	10111	
27100	12093	10010	10158	
27200	12208	10090	10177	
27300	12183	10063	10209	
27400	12290	10177	10232	
27500	12331	10210	10330	
27600	12394	10397	10452	
27700	12547	10364	10414	
27800	12449	10272	10366	
27900	12537	10308	10434	
28000	12529	10333	10480	
28100	12617	10424	10567	
28200	12683	10468	11275	
28300	13574	12020	12126	
28400	13652	10702	10724	
28500	12770	10536	10745	
28600	12845	10620	10728	
28700	12834	10654	10813	
28800	12953	10714	10845	
28900	13029	10796	10902	
29000	13104	10785	11064	
29100	13168	10897	11020	
29200	13136	10925	11071	
29300	13255	10964	11096	
29400	13265	10945	11073	
29500	13258	10979	11146	
29600	13348	11069	11178	
29700	13481	11107	11283	
29800	13427	11097	11236	
29900	13498	11171	11279	
30000	13579	11214	11395	
30100	13577	11240	11389	
30200	13596	11208	11351	
30300	13614	11314	11498	
30400	13731	11324	11698	
30500	13907	11479	11570	
30600	13818	11418	11533	
30700	13915	11514	11584	
30800	13854	11463	11594	
30900	13938	11488	11705	
31000	13992	11555	11728	
31100	14014	11581	11706	
31200	14085	11711	11869	
31300	14134	11711	11831	
31400	14222	11715	11849	
31500	14203	11768	11927	
31600	14289	11773	11897	
31700	14295	11858	12135	
31800	14441	11907	12071	
31900	14449	11949	12107	
32000	14461	11954	12123	
32100	14556	12030	12166	
32200	14587	12069	12179	
32300	14640	12105	12245	
32400	14702	12155	12267	
32500	14703	12237	12341	
32600	14766	12209	12387	
32700	14826	12279	12368	
32800	14885	12356	12436	
32900	14978	12389	12501	
33000	14984	12545	12676	
33100	15173	12522	12608	
33200	15099	12534	12705	
33300	15139	12555	12671	
33400	15183	12589	12711	
33500	15222	12670	12732	
33600	15322	12643	12809	
33700	15345	12687	12862	
33800	15392	12787	12924	
33900	15427	12778	12916	
34000	15518	12857	12945	
34100	15529	12908	13021	
34200	15592	13124	13098	
34300	15680	12940	13072	
34400	15728	13019	13170	
34500	15725	13043	13178	
34600	15775	13127	13193	
34700	15838	13151	13338	
34800	15941	13225	13289	
34900	15946	13211	13330	
35000	15946	13254	13657	
35100	15992	13293	13403	
35200	16107	13332	13429	
35300	16125	13375	13476	
35400	16336	13545	13635	
35500	16294	13431	13535	
35600	16302	13468	13623	
35700	16281	13543	13659	
35800	16393	13608	13722	
35900	16410	13651	13767	
36000	16460	13672	13784	
36100	16567	13724	13782	
36200	16546	13804	13831	
36300	16588	13764	13908	
36400	16633	13815	13907	
36500	16680	14081	14104	
36600	16762	13922	14124	
36700	16777	13965	14081	
36800	16899	14012	14114	
36900	16892	14047	14202	
37000	17014	14188	14253	
37100	17004	14092	14247	
37200	17010	14142	14355	
37300	17183	14300	14358	
37400	17175	14226	14403	
37500	17262	14297	14366	
37600	17269	14538	14504	
37700	17408	14417	14482	
37800	17365	14472	14513	
37900	17313	14364	14559	
38000	17406	14432	14619	
38100	17507	14546	14627	
38200	17587	14482	14675	
38300	17599	14608	14731	
38400	17580	14579	14795	
38500	17673	14660	14812	
38600	17856	14683	14935	
38700	17872	14837	14913	
38800	17739	14780	14924	
38900	17858	14823	14964	
39000	17914	14845	14994	
39100	17902	14829	14985	
39200	17997	14931	15029	
39300	18038	14955	15103	
39400	18079	14990	15128	
39500	18134	15034	15164	
39600	18131	15034	15256	
39700	18379	15186	15382	
39800	18327	15053	15192	
39900	18651	15160	15268	
40000	18379	15136	15318	
40100	18424	15269	15396	
40200	18543	15284	15399	
40300	18517	15341	15460	
40400	18548	15342	15453	
40500	18618	15417	15542	
40600	18656	15438	15654	
40700	18906	15554	15636	
40800	18781	15549	15698	
40900	18853	15658	15747	
41000	18933	15685	15833	
41100	19002	15749	15906	
41200	18980	15667	15890	
41300	19061	15798	15916	
41400	19142	15797	15939	
41500	19081	15951	16019	
41600	19031	15771	15992	
41700	19304	16039	16123	
41800	19232	15896	16146	
41900	19207	15862	16065	
42000	19453	15999	16085	
42100	19434	16080	16246	
42200	19432	16125	16240	
42300	19384	16070	16338	
42400	19518	16126	16394	
42500	19586	16211	16531	
42600	20209	16476	16620	
42700	19744	16362	16559	
42800	19684	16362	16499	
42900	19849	16253	16580	
43000	19848	16383	16605	
43100	19895	16391	16596	
43200	20002	16529	16770	
43300	19980	16524	16641	
43400	20018	16563	16742	
43500	20069	16568	16997	
43600	20273	16659	16781	
43700	20185	16741	16889	
43800	20244	16633	16876	
43900	20275	16808	16923	
44000	20360	16776	16969	
44100	20382	17092	17020	
44200	20358	16849	17066	
44300	20382	16806	17091	
44400	20539	16868	17093	
44500	20860	16991	17159	
44600	20669	17234	17124	
44700	20605	17110	17159	
44800	20689	17044	17203	
44900	20678	17036	17269	
45000	20793	17090	17333	
45100	20831	17138	17382	
45200	20900	17268	17422	
45300	20957	17294	17664	
45400	21180	17428	17462	
45500	20959	17412	17597	
45600	21048	17309	17645	
45700	21140	17416	17595	
45800	21125	17403	17684	
45900	21294	17533	17739	
46000	21291	17508	17816	
46100	21380	17593	17832	
46200	21409	17650	18120	
46300	21455	17622	17962	
46400	21400	17638	17916	
46500	21513	17758	17983	
46600	21582	17814	18038	
46700	21641	17912	18165	
46800	21708	17918	18090	
46900	21682	17938	18141	
47000	21762	17848	18109	
47100	21930	18021	18378	
47200	21899	17992	18333	
47300	21836	18141	18291	
47400	21973	18126	18284	
47500	21977	18073	18334	
47600	22050	18231	18435	
47700	22048	18171	18489	
47800	22046	18258	18473	
47900	22245	18211	18753	
48000	22255	18364	18606	
48100	22334	18373	18533	
48200	22281	18325	18647	
48300	22388	18435	18647	
48400	22424	18434	18636	
48500	22561	18711	18705	
48600	22428	18515	18741	
48700	22571	18657	18868	
48800	22876	18818	18842	
48900	22601	18771	18943	
49000	22615	18765	18925	
49100	22781	18827	19129	
49200	22725	18824	19075	
49300	22856	18908	19013	
49400	22927	18850	19085	
49500	23119	19002	19254	
49600	23333	19134	19247	
49700	23220	19086	19322	
49800	23220	19082	19341	
49900	23186	19207	19463	
50000	23306	19296	19494	
50100	23436	19346	19555	
50200	23467	19253	19424	
50300	23397	19322	19531	
50400	23737	19466	19672	
50500	23541	19446	19617	
50600	23598	19452	19620	
50700	23622	19536	19811	
50800	23659	19531	19823	
50900	23763	19621	19856	
51000	23788	19641	19872	
51100	23812	19687	20081	
51200	23970	19782	19935	
51300	24067	19835	20061	
51400	24042	19799	20092	
51500	24030	19883	20118	
51600	24162	19961	20265	
