n	random	almost_sort	sorted_rev	
26000	7690	5389	5736	
26100	7724	5411	5760	
26200	7744	5438	5772	
26300	7833	5430	5805	
26400	7796	5441	5809	
26500	7832	5465	5838	
26600	7897	5502	5877	
26700	7894	5507	5897	
26800	7934	5534	5919	
26900	7989	5584	5924	
27000	7984	5557	5971	
27100	8001	5572	5988	
27200	8040	5780	6016	
27300	8167	5650	6077	
27400	8164	5669	6060	
27500	8131	5686	6094	
27600	8170	5690	6097	
27700	8237	5711	6124	
27800	8226	5744	6144	
27900	8296	5747	6153	
28000	8301	5755	6207	
28100	8310	5799	6208	
28200	8398	5815	6234	
28300	8390	5817	6283	
28400	8412	5852	6286	
28500	8472	5896	6304	
28600	8476	5866	6328	
28700	8511	5945	6361	
28800	8563	5925	6371	
28900	8557	5951	6405	
29000	8597	5957	6440	
29100	8631	5994	6458	
29200	8667	6018	6496	
29300	8690	6026	6505	
29400	8735	6042	6528	
29500	8736	6053	6529	
29600	8927	6076	6646	
29700	8887	6116	6604	
29800	8864	6113	6630	
29900	8884	6157	6634	
30000	8922	6180	6655	
30100	8908	6191	6675	
30200	8988	6200	6698	
30300	9043	6197	6719	
30400	9022	6284	6762	
30500	9059	6267	6804	
30600	9081	6286	6780	
30700	9105	6299	6809	
30800	9182	6357	6880	
30900	9239	6390	6918	
31000	9300	6462	6957	
31100	9357	6552	6997	
31200	9407	6602	7057	
31300	9461	6641	7097	
31400	9564	6723	7167	
31500	9611	6745	7218	
31600	9632	6850	7287	
31700	9707	6887	7325	
31800	9920	7008	7410	
31900	9906	7019	7407	
32000	9876	7087	7435	
32100	9936	7200	7480	
32200	10019	7212	7523	
32300	10055	7246	7586	
32400	10089	7327	7653	
32500	10168	7337	7659	
32600	10205	7419	7704	
32700	10328	7495	7745	
32800	10342	7532	7763	
32900	10375	7631	7809	
33000	10417	7543	7827	
33100	10451	7648	7865	
33200	10486	7641	7876	
33300	10530	7668	7919	
33400	10548	7689	7942	
33500	10582	7701	7958	
33600	10605	7737	7985	
33700	10831	7847	8107	
33800	10671	7753	8040	
33900	10736	7856	8068	
34000	10763	7825	8093	
34100	10777	7846	8149	
34200	10783	7861	8134	
34300	10811	7870	8218	
34400	10873	7892	8346	
34500	10943	7928	8223	
34600	10925	7970	8195	
34700	10938	7938	8235	
34800	11028	7987	8298	
34900	10973	8019	8289	
35000	11019	8046	8309	
35100	11136	8060	8330	
35200	11087	8067	8354	
35300	11199	8097	8386	
35400	11177	8103	8396	
35500	11353	8282	8555	
35600	11326	8177	8484	
35700	11275	8160	8541	
35800	11333	8224	8527	
35900	11312	8201	8491	
36000	11386	8209	8529	
36100	11358	8252	8561	
36200	11417	8284	8573	
36300	11495	8293	8604	
36400	11467	8307	8639	
36500	11546	8375	8802	
36600	11567	8345	8676	
36700	11568	8385	8687	
36800	11607	8393	8724	
36900	11672	8415	8752	
37000	11668	8451	8756	
37100	11747	8439	8784	
37200	11770	8681	8884	
37300	11752	8527	8850	
37400	11812	8543	8937	
37500	11817	8553	8882	
37600	11853	8523	8951	
37700	11882	8592	8969	
37800	11925	8678	8950	
37900	11945	8681	9010	
38000	11963	8674	8997	
38100	12002	8649	9064	
38200	12068	8697	9051	
38300	12078	8693	9062	
38400	12135	8739	9083	
38500	12146	8749	9096	
38600	12170	8827	9138	
38700	12187	8803	9154	
38800	12280	8902	9337	
38900	12340	8867	9251	
39000	12395	8932	9236	
39100	12316	8883	9260	
39200	12417	8947	9280	
39300	12383	8940	9277	
39400	12407	8992	9318	
39500	12445	8998	9353	
39600	12477	9011	9388	
39700	12522	9027	9425	
39800	12592	9069	9474	
39900	12605	9083	9496	
40000	12669	9082	9474	
40100	12615	9112	9483	
40200	12854	9194	9588	
40300	12755	9133	9586	
40400	12761	9246	9679	
40500	12893	9217	9617	
40600	12841	9186	9693	
40700	12923	9297	9666	
40800	12895	9374	9736	
40900	12967	9346	9731	
41000	12996	9316	9769	
41100	13018	9481	9777	
41200	13108	9340	9760	
41300	12999	9339	9755	
41400	13156	9395	9854	
41500	13076	9390	9814	
41600	13113	9442	9856	
41700	13147	9450	9927	
41800	13159	9456	9885	
41900	13261	9482	10067	
42000	13364	9657	10018	
42100	13310	9508	9942	
42200	13297	9617	10011	
42300	13342	9577	10000	
42400	13362	9581	10011	
42500	13390	9592	10078	
42600	13469	9654	10096	
42700	13464	9639	10089	
42800	13552	9669	10123	
42900	13525	9698	10160	
43000	13580	9730	10181	
43100	13563	9749	10237	
43200	13614	9746	10226	
43300	13639	9789	10291	
43400	13659	9949	10391	
43500	13746	9818	10337	
43600	13723	9849	10323	
43700	13783	9915	10337	
43800	13788	9894	10367	
43900	13836	9998	10380	
44000	13866	10016	10452	
44100	13913	9931	10436	
44200	13926	9977	10459	
44300	14005	10009	10468	
44400	13985	10027	10534	
44500	14024	10068	10553	
44600	14092	10076	10630	
44700	14160	10097	10570	
44800	14121	10116	10834	
44900	14266	10249	10708	
45000	14225	10143	10640	
45100	14212	10227	10695	
45200	14266	10286	10712	
45300	14278	10234	10705	
45400	14336	10272	10725	
45500	14349	10247	10793	
45600	14354	10257	10827	
45700	14399	10347	10846	
45800	14404	10315	10840	
45900	14525	10363	10850	
46000	14475	10342	10900	
46100	14563	10375	10931	
46200	14541	10551	11019	
46300	14600	10498	10978	
46400	14664	10483	10985	
46500	14648	10454	11012	
46600	14725	10489	11040	
46700	14784	10483	11065	
46800	14814	10523	11081	
46900	14770	10549	11224	
47000	14824	10564	11118	
47100	14874	10630	11145	
47200	14866	10611	11170	
47300	14939	10633	11217	
47400	15243	10665	11336	
47500	14971	10693	11284	
47600	15299	10750	11376	
47700	15073	10715	11284	
47800	15094	10786	11339	
47900	15098	10762	11372	
48000	15164	10766	11358	
48100	15142	10826	11446	
48200	15181	10847	11422	
48300	15278	10878	11451	
48400	15251	10879	11452	
48500	15366	10867	11508	
48600	15314	10925	11533	
48700	15348	10941	11540	
48800	15406	10933	11577	
48900	15602	11044	11589	
49000	15462	11014	11702	
49100	15472	11023	11686	
49200	15519	11064	11687	
49300	15525	11088	11693	
49400	15583	11112	11836	
49500	15665	11121	11754	
49600	15690	11100	11794	
49700	15702	11156	11819	
49800	15772	11187	11854	
49900	15724	11229	11888	
50000	15767	11267	11876	
50100	15830	11297	12132	
50200	16000	11342	12004	
50300	15890	11240	11967	
50400	15969	11273	11964	
50500	15933	11299	12002	
50600	15935	11380	12010	
50700	15999	11349	12106	
50800	16034	11396	12057	
50900	16051	11410	12099	
51000	16083	11439	12091	
51100	16165	11476	12135	
51200	16150	11474	12163	
51300	16167	11461	12174	
51400	16458	11601	12217	
51500	16252	11554	12296	
51600	16257	11552	12295	
51700	16316	11586	12260	
51800	16380	11603	12270	
51900	16469	11599	12303	
52000	16455	11656	12378	
52100	16414	11581	12376	
52200	16463	11689	12408	
52300	16495	11704	12462	
52400	16539	11771	12438	
52500	16584	11762	12502	
52600	16781	11824	12590	
52700	16702	11846	12541	
52800	16665	11918	12559	
52900	16679	11821	12617	
53000	16734	11858	12576	
53100	16735	11917	12628	
53200	16782	11932	12764	
53300	16892	11966	12720	
53400	16917	11972	12720	
53500	17009	12007	12793	
53600	17127	12050	12788	
53700	17013	12261	12778	
53800	17182	12056	12872	
53900	17117	12054	12868	
54000	17096	12113	12917	
54100	17165	12133	12906	
54200	17288	12155	12951	
54300	17259	12180	12947	
54400	17259	12159	12943	
54500	17216	12122	12993	
54600	17247	12213	12984	
54700	17251	12227	13071	
54800	17319	12195	13099	
54900	17326	12381	13194	
55000	17560	12220	13107	
55100	17372	12254	13206	
55200	17446	12330	13132	
55300	17433	12377	13205	
55400	17576	12381	13191	
55500	17526	12375	13258	
55600	17538	12390	13258	
55700	17618	12418	13262	
55800	17645	12468	13303	
55900	17652	12446	13446	
56000	17811	12548	13447	
56100	17866	12534	13411	
56200	17757	12535	13401	
56300	17810	12546	13403	
56400	17806	12586	13493	
56500	17842	12669	13480	
56600	17882	12668	13494	
56700	17907	12633	13500	
56800	17955	12661	13521	
56900	17948	12669	13584	
57000	18022	12666	13614	
57100	18061	12728	13630	
57200	18268	12827	13729	
57300	18093	12768	13669	
57400	18228	12763	13692	
57500	18200	12847	13740	
57600	18197	12806	13747	
57700	18245	12855	13766	
57800	18281	12918	13802	
57900	18327	12839	13855	
58000	18388	12956	13869	
58100	18378	12944	13846	
58200	18425	12984	14061	
58300	18558	13032	13936	
58400	18561	13023	13972	
58500	18511	13046	13992	
58600	18596	13001	14010	
58700	18628	13050	14131	
58800	18608	13072	14040	
58900	18606	13074	14052	
59000	18662	13108	14108	
59100	18715	13110	14184	
59200	18754	13161	14165	
59300	18730	13367	14226	
59400	18891	13220	14215	
59500	18837	13233	14343	
59600	18880	13249	14216	
59700	18889	13283	14305	
59800	18929	13237	14320	
59900	18970	13292	14305	
60000	18989	13377	14326	
60100	19044	13356	14410	
60200	19068	13395	14386	
60300	19078	13436	14432	
60400	19401	13484	14440	
60500	19176	13421	14518	
60600	19203	13449	14493	
60700	19294	13486	14514	
60800	19260	13512	14570	
60900	19322	13584	14626	
61000	19344	13627	14650	
61100	19370	13532	14614	
61200	19360	13581	14685	
61300	19410	13620	14702	
61400	19473	13803	14829	
61500	19611	13680	14767	
61600	19677	13770	14802	
61700	19604	13814	14851	
61800	19666	13872	14907	
61900	19768	13912	14934	
62000	19816	14035	15026	
62100	19876	14064	15094	
62200	19919	14126	15119	
62300	19994	14196	15153	
62400	20067	14466	15278	
62500	20118	14354	15284	
62600	20176	14342	15340	
62700	20236	14443	15360	
62800	20343	14463	15403	
62900	20406	14580	15439	
63000	20400	14663	15487	
63100	20457	14664	15567	
63200	20549	14738	15579	
63300	20666	14809	15622	
63400	20971	14977	15779	
63500	20741	14962	15703	
63600	20850	14988	15811	
63700	20862	15056	15798	
63800	20981	15123	15916	
63900	21100	15223	15971	
64000	21134	15252	16177	
64100	21257	15357	16100	
64200	21301	15356	16140	
64300	21270	15591	16214	
64400	21427	15535	16282	
64500	21489	15560	16192	
64600	21567	15618	16305	
64700	21567	15747	16386	
64800	21529	15763	16374	
64900	21713	15722	16878	
65000	22929	17379	18297	
65100	22974	16454	17120	
65200	22608	16590	17224	
65300	22679	16632	17166	
65400	22583	16651	17183	
65500	22745	16709	17223	
65600	22776	16794	17270	
65700	22821	16789	17156	
65800	22855	16765	17317	
65900	22891	16855	16976	
66000	22299	16275	16823	
66100	22510	16447	16845	
66200	22361	16367	16868	
66300	22303	16378	16959	
66400	22407	16456	16912	
66500	22404	16444	17031	
66600	22445	16539	17042	
66700	22478	16493	16981	
66800	22582	16617	17049	
66900	22549	16523	17130	
67000	22844	16645	17137	
67100	22711	16836	17177	
67200	22644	16630	17110	
67300	22623	16681	17195	
67400	22672	16688	17247	
67500	22727	16705	17254	
67600	22751	16742	17224	
67700	22789	16710	17296	
67800	22796	16854	17480	
67900	22972	16854	17271	
68000	22950	16869	17328	
68100	23029	16813	17357	
68200	22975	16879	17444	
68300	23053	16875	17371	
68400	22998	16834	17437	
68500	23009	16908	17503	
68600	23059	16901	17457	
68700	23354	17189	17590	
68800	23141	16988	17614	
68900	23170	17041	17557	
69000	23189	16974	17539	
69100	23275	17047	17558	
69200	23313	17037	17596	
69300	23302	17109	17725	
69400	23332	17083	17668	
69500	23375	17297	17781	
69600	23475	17192	17762	
69700	23450	17154	17708	
69800	23552	17150	17801	
69900	23492	17218	17777	
70000	23545	17268	17831	
70100	23553	17221	17849	
70200	23589	17316	17831	
70300	23617	17369	17869	
70400	23985	17495	18015	
70500	23757	17337	17948	
70600	23726	17405	18010	
70700	23748	17378	17992	
70800	23834	17387	18134	
70900	23865	17463	18065	
71000	23847	17461	18088	
71100	23905	17484	18120	
71200	24192	17461	18136	
71300	24076	17462	18124	
71400	24035	17614	18183	
71500	24022	17582	18154	
71600	24266	17611	18178	
71700	24240	17656	18202	
71800	24236	17657	18305	
71900	24197	17701	18249	
72000	24153	17959	18361	
72100	24371	17734	18299	
72200	24326	17878	18368	
72300	24356	17835	18379	
72400	24455	17841	18460	
72500	24462	17884	18478	
72600	24439	17975	18512	
72700	24736	17938	18580	
72800	24470	18071	18574	
72900	24629	17909	18602	
73000	24660	17928	18722	
73100	25708	18655	18956	
73200	24756	18069	18662	
73300	24727	18087	18695	
73400	24774	18063	18696	
73500	24727	18118	18673	
73600	24753	18399	18867	
73700	24860	18047	18850	
73800	24895	18170	18790	
73900	24898	18064	18758	
74000	24974	18162	18879	
74100	24928	18167	18820	
74200	24932	18137	18852	
74300	25006	18229	18845	
74400	25177	18463	18936	
74500	25218	18242	18915	
74600	25111	18313	19034	
74700	25103	18296	19020	
74800	25136	18374	18971	
74900	25135	18286	19037	
75000	25210	18389	19040	
75100	25197	18391	19063	
75200	25546	18656	19198	
75300	25254	18451	19192	
75400	25328	18552	19120	
75500	25387	18573	19189	
75600	25364	18508	19200	
75700	25469	18509	19241	
75800	25463	18714	19242	
75900	25497	18522	19388	
76000	25693	18627	19360	
76100	25587	18621	19385	
76200	25668	18663	19396	
76300	25633	18647	19419	
76400	25637	18691	19410	
76500	25843	18669	19406	
76600	25808	18742	19422	
76700	25771	18939	19643	
76800	25981	18768	19471	
76900	26007	18843	19533	
77000	25861	18779	19663	
77100	25934	18829	19661	
77200	25905	18926	19622	
77300	25963	18890	19631	
77400	25986	18962	19613	
77500	26281	19106	19729	
77600	26133	18951	19697	
77700	26128	19024	19688	
77800	26126	19020	19741	
77900	26161	19018	19745	
78000	26283	19102	19757	
78100	26254	19055	19880	
78200	26258	19082	20197	
78300	26574	19214	20338	
78400	26348	19186	19974	
78500	26325	19182	19909	
78600	26349	19360	19952	
78700	26405	19298	20020	
78800	26411	19262	20021	
78900	26457	19327	19993	
79000	26744	19510	20052	
79100	26669	19354	20043	
79200	26673	19299	20122	
79300	26611	19438	20123	
79400	26641	19427	20149	
79500	26646	19403	20225	
79600	26822	19529	20194	
79700	26814	19665	20368	
79800	26997	19426	20211	
79900	26952	19511	20266	
80000	26883	19551	20394	
80100	26979	19628	20398	
80200	27023	19597	20371	
80300	26934	19573	20358	
80400	27772	20421	21353	
80500	28323	19824	20520	
80600	27123	19724	20506	
80700	27318	20006	20506	
80800	27289	19684	20474	
80900	27116	19646	20555	
81000	27163	19750	20629	
81100	27314	19774	20524	
81200	27542	19815	20735	
81300	27374	19887	20610	
81400	27306	19843	20704	
81500	27415	19946	20690	
81600	27447	19848	20718	
81700	27452	19945	20737	
81800	27457	19865	20861	
81900	27581	20216	20945	
82000	27507	19950	20900	
82100	27594	20102	20823	
82200	27635	20093	20844	
82300	27647	20043	20901	
82400	27603	20001	20875	
82500	27735	20115	20950	
82600	27739	20381	21097	
82700	27827	20154	20967	
82800	27800	20195	21012	
82900	27829	20205	21078	
83000	27871	20195	21093	
83100	27874	20205	21097	
83200	27934	20228	21173	
83300	27946	20431	21315	
83400	28149	20306	21195	
83500	28049	20271	21163	
83600	28069	20358	21232	
83700	28162	20340	21269	
83800	28167	20383	21274	
83900	28243	20434	21293	
84000	28158	20569	21584	
84100	28313	20523	21358	
84200	28297	20473	21383	
84300	28468	20677	21623	
84400	28298	20582	21428	
84500	28336	20703	21426	
84600	28482	20559	21476	
84700	28416	20751	21644	
84800	28648	20655	21646	
84900	28585	20633	21537	
85000	28532	20651	21603	
85100	28547	20688	21596	
85200	28615	20732	21653	
85300	28634	20850	21635	
85400	28718	20997	21796	
85500	28815	20869	21683	
85600	28756	20811	21733	
85700	28767	20841	21778	
85800	28818	20825	21836	
85900	28826	20852	21893	
86000	28851	20942	21810	
86100	29052	21189	22042	
86200	28941	21065	21913	
86300	28961	21047	21914	
86400	29036	21036	21938	
86500	29003	21080	22071	
86600	29173	21070	22063	
86700	29068	21177	22016	
86800	29384	21277	22088	
86900	29266	21098	22032	
87000	29246	21152	22208	
87100	29451	21258	22215	
87200	29401	21334	22262	
87300	29447	21371	22232	
87400	29513	21333	22471	
87500	29525	21337	22311	
87600	29480	21418	22331	
87700	29613	21273	22297	
87800	29458	21300	22308	
87900	29513	21300	22340	
88000	29600	21420	22421	
88100	29715	21550	22534	
88200	29636	21480	22383	
88300	29675	21498	22501	
88400	29847	21540	22444	
88500	29737	21464	22468	
88600	29730	21614	22667	
88700	29737	21646	22521	
88800	30048	21826	22706	
88900	29872	21739	22579	
89000	29960	21563	22625	
89100	29955	21640	22642	
89200	29951	21636	22734	
89300	29954	21714	22681	
89400	30120	21733	22973	
89500	30222	21788	22733	
89600	30031	21760	22761	
89700	30130	21734	22882	
89800	30142	21826	22909	
89900	30216	21915	22894	
90000	30179	21886	22833	
90100	30534	22045	23006	
90200	30278	21955	22923	
90300	30255	21943	22985	
90400	30403	21967	22940	
90500	30398	22050	23003	
90600	30397	22060	22990	
90700	30473	22011	23231	
90800	30671	22066	23134	
90900	30500	22052	23158	
91000	30534	22106	23203	
91100	30586	22144	23198	
91200	30581	22170	23190	
91300	30624	22184	23190	
91400	31122	22406	23345	
91500	30834	22464	23239	
91600	30796	22319	23321	
91700	30798	22269	23281	
91800	30811	22216	23399	
91900	30827	22252	23399	
92000	30856	22313	24054	
92100	31018	22499	23395	
92200	31024	22350	23533	
92300	31088	22562	23473	
92400	30995	22396	23490	
92500	31041	22484	23473	
92600	31161	22679	23879	
92700	31426	22674	23595	
92800	31300	22403	23802	
92900	31292	22497	23618	
93000	31471	22523	23645	
93100	31563	22551	23651	
93200	31435	22536	23766	
